"Title","Start","Description","lat","long"
"Battle of Tolentino",1815-05-03,"The Battle of Tolentino was fought on 2 – 3 May 1815 near Tolentino, Kingdom of Naples in what is now Marche, Italy: it was the decisive battle in the Neapolitan War, fought by the Napoleonic King of Naples Joachim Murat to keep the throne after the Congress of Vienna. The battle itself shares many parallels with the Battle of Waterloo. Both occurred during the Hundred Days following Napoleon's return from exile and resulted in a decisive victory for the Seventh Coalition leading to the restoration of a Bourbon king.",43.2136,13.2911
"Battle of Bussaco",1810-09-27,"The Battle of Buçaco (pronounced: [buˈsaku]) or Bussaco (27 September 1810) resulted in the defeat of French forces by Lord Wellington's Anglo-Portuguese Army, in Portugal during the Peninsular War.Having occupied the heights of Bussaco (a 10-mile long ridge located at 40°20'40""N, 8°20'15""W) with 25,000 British and the same number of Portuguese, Wellington was attacked five times successively by 65,000 French under Marshal André Masséna. Masséna was uncertain as to the disposition and strength of the opposing forces because Wellington deployed them on the reverse slope of the ridge, where they could neither be easily seen nor easily softened up with artillery.  The actual assaults were delivered by the corps of Marshal Michel Ney and General of Division (MG) Jean Reynier, but after much fierce fighting they failed to dislodge the allied forces and were driven off after having lost 4,500 men against 1,250 Anglo-Portuguese casualties.",40.3444,-8.3375
"Battle of Saalfeld",1806-10-10,"The Battle of Saalfeld (10 October 1806) saw Marshal Lannes and a division of his V Corps defeat 8,300 Prussians under Prince Louis Ferdinand.",50.65,11.3669
"Battle of Rocquencourt",1815-07-01,"The Battle of Rocquencourt was a cavalry skirmish fought on 1 July 1815 in and  around the villages of Rocquencourt and Le Chesnay. French dragoons supported by infantry and commanded by General Exelmans destroyed a Prussian brigade of hussars under the command of Lieutenant Colonel Eston von Sohr (who was severely wounded and taken prisoner during the skirmish).Prussian cavalry detachment under the command of Lieutenant Colonel Sohr ventured too far in advance of the main body of the Prussian army with the intention of reaching the Orléans road from Paris; where his detachment was to interrupt traffic on the road, and increase the confusion already produced in that quarter by the fugitives from the capital. However when the Prussian detachment was in the vicinity of Rocquencourt it was ambushed by a superior French force. Under attack the Prussians retreated from Versailles  and headed east, but were blocked by the French at Vélizy. They failed to re-enter Versailles and headed for Saint-Germain-en-Laye. Their first squadron came under fire at the entrance of Rocquencourt and attempted to escape through the fields. They were forced into a small, narrow street in Le Chesnay and killed or captured. Just before nightfall the same day, the advanced guard of the Prussian III Corps, having heard of the destruction of Sohr's detachment, succeeded in recapturing Rocquencourt and bivouacked there.",48.8211,2.1311
"Battle of Alba de Tormes",1809-11-26,"In the Battle of Alba de Tormes on 26 November 1809, an Imperial French corps commanded by François Étienne de Kellermann attacked a Spanish army led by Diego de Cañas y Portocarrero, Duke del Parque. Finding the Spanish army in the midst of crossing the Tormes River, Kellermann did not wait for his infantry under Jean Gabriel Marchand to arrive, but led the French cavalry in a series of charges that routed the Spanish units on the near bank with heavy losses. Del Parque's army was forced to take refuge in the mountains that winter. Alba de Tormes is 21 kilometres (13 mi) southeast of Salamanca, Spain. The action occurred during the Peninsular War, part of the Napoleonic Wars.The Spanish Supreme Central and Governing Junta of the Kingdom planned to launch a two-pronged attack on Madrid in the fall of 1809. In the west, Del Parque's Army of the Left enjoyed some success against Marchand's weak VI Corps. When the Spanish general learned that the other offensive prong had been crushed at Ocaña, he turned around and began retreating rapidly to the south. At the same time, Marchand was reinforced by a dragoon division under Kellermann. Taking command, Kellermann raced in pursuit of the Army of the Left, catching up with it at Alba de Tormes. Not waiting for their own foot soldiers, the French dragoons and light cavalry fell upon the Spanish infantry and defeated it. Marchand's infantry arrived in time to mop up, but the cavalry had done most of the fighting. Del Parque's men retreated into the mountains where they spent a miserable few months.",40.8333,-5.5
"Battle of Venta del Pozo",1812-10-23,"The Battle of Venta del Pozo, also known as the Battle of Villodrigo by the French, was a rear-guard action fought as part of the Peninsular War on 23 October 1812 between an Anglo-German force led by Major-General Stapleton Cotton against French cavalry under Major-Generals Jean-Baptiste Curto and Pierre Boyer. The result was a French tactical victory.",42.15,-4.1
"Battle of the Gebora",1811-02-19,"The Battle of the Gebora was a minor battle of the Peninsular War between Spanish and French armies. It occurred on 19 February 1811, near Badajoz, Spain, where an outnumbered French force routed and nearly destroyed the Spanish Army of Extremadura.In a bid to help extricate Marshal André Masséna's army from its position in Portugal—mired in front of Lisbon's defensive Lines of Torres Vedras—Marshal Jean de Dieu Soult led part of the French Armée du Midi (Army of the South) from Andalusia into the neighbouring Spanish region of Extremadura and laid siege to the important fortress town of Badajoz. Viscount Wellington and the Spanish Captain-General Pedro Caro y Sureda, 3rd marqués de La Romana sent a large Spanish army to raise the siege. La Romana, however, died before the army could depart, and command fell to General Gabriel de Mendizábal Iraeta. Supported by a small force of Portuguese cavalry, the Spaniards reached the town and camped on the nearby heights of San Cristóbal in early February 1811.When Mendizabal ignored Wellington's instructions and failed to entrench his army, Soult took advantage of the vulnerable Spanish position and sent a small force to attack the Spaniards. On the morning of 19 February, French forces under Marshal Édouard Mortier quickly defeated the Spanish army, inflicting 1,000 casualties and taking 4,000 prisoners while losing only 400 men. The victory allowed Soult to concentrate on his assault of Badajoz, which fell to the French on 11 March and remained in French hands until the following year.",38.879,-6.967
"Siege of Astorga",1810-04-22,"The Siege of Astorga was an attempt by French forces to capture Astorga, Spain in a campaign of the Peninsular War.  Astorga was located on the flank of the French invasion of Spain and Portugal, and was meant  to be used as a headquarters during the campaign. For several weeks no attack took place, as neither side had artillery enough to fight well. Shortly after the French guns arrived, however, a hole was made in the wall and the city fell shortly thereafter. The French overpowered the Spanish garrison inside and took the city on April 20, 1810; with a loss of 160 men.",42.4583,-6.05833
"Battle of Pirano",1812-02-22,"The Battle of Pirano on 22 February 1812 was a minor naval action of the Adriatic campaign of the Napoleonic Wars fought between a British and a French ship of the line in the vicinity of the town of Piran in Adriatic Sea. The French Rivoli, named for Napoleon's victory 15 years earlier, had been recently completed at Venice. The French naval authorities intended her to bolster French forces in the Adriatic, following a succession of defeats in the preceding year.To prevent this ship challenging British dominance in the theatre, the Royal Navy ordered a ship of the line from the Mediterranean fleet to intercept and capture Rivoli on her maiden voyage. Captain John Talbot of HMS Victorious arrived off Venice in mid-February and blockaded the port. When Rivoli attempted to escape under cover of fog, Talbot chased her and forced her to surrender in a five-hour battle, Rivoli losing over half her crew wounded or dead.",43.0,15.0
"Battle of Vizagapatam",1804-09-15,"The Battle of Vizagapatam was a minor naval engagement fought in the approaches to Vizagapatam harbour in the Coastal Andhra region of British India on the Bay of Bengal on 15 September 1804 during the Napoleonic Wars. A French squadron under Contre-Admiral Charles-Alexandre Durand Linois in the ship of the line Marengo attacked the British Royal Navy fourth rate ship HMS Centurion and two East Indiaman merchant ships anchored in the harbour roads. Linois was engaged in an extended raiding campaign, which had already involved operations in the South China Sea, in the Mozambique Channel, off Ceylon and along the Indian coast of the Bay of Bengal. The French squadron had fought one notable engagement, at the Battle of Pulo Aura on 15 February 1804, in which Linois had attacked the Honourable East India Company's (HEIC) China Fleet, a large convoy of well-armed merchant ships carrying cargo worth £8 million. Linois failed to press the attack and withdrew with the convoy at his mercy, invoking the anger of Napoleon when the news reached France.Since his failure at Pulo Aura, Linois had been cruising the Indian Ocean, and during August and September 1804 had seized a number of valuable merchant ships as his squadron travelled north from Ceylon along the Indian coast of the Bay of Bengal. From a ship captured off Masulipatam, Linois learned of the presence of the East Indiamen at Vizagapatam and determined to attack, unaware that British Rear-Admiral Peter Rainier had replaced the small frigate HMS Wilhelmina with the larger Centurion as the convoy's escort. Arriving off the port at 06:00, Linois advanced on the convoy, causing one of the East Indiamen to drive ashore in panic. The other merchant vessel failed to support the outnumbered Centurion and was captured, but Centurion continued fighting alone. Initially supported by the fire of gun batteries on shore, Centurion later moved out of their range while engaging the French flagship Marengo, which remained well offshore to avoid the coastal shoals. After an engagement lasting four hours Marengo withdrew, the badly damaged Centurion attempting to pursue but without success. Linois's squadron was forced to return to Île de France in the aftermath of the engagement, where Marengo required six months of repairs.",17.6833,83.3167
"Action of 7 February 1813",1813-02-07,"The Action of 7 February 1813 was a naval battle between two evenly matched frigates from the French Navy and the British Royal Navy, Aréthuse and HMS Amelia. The battle was fought in the night of 7 February 1813 at the Îles de Los, off Guinea. It lasted four hours, causing significant damage and casualties to both opponents, and resulted in a stalemate. The two ships parted and returned to their respective port of call, both sides claiming victory.",-20.3903,57.7339
"Battle of Arzobispo",1809-08-08,"The Battle of Arzobispo on 8 August 1809 saw two Imperial French corps commanded by Marshal Nicolas Soult launch an assault crossing of the Tagus River against a Spanish force under José María de la Cueva, 14th Duke of Albuquerque. Albuquerque's troops rapidly retreated after suffering disproportionate losses, including 30 artillery pieces. El Puente del Arzobispo (The Archbishop's Bridge) is located 36 kilometres (22 mi) southwest of Talavera de la Reina, Spain. The action occurred during the Peninsular War, part of a larger conflict known as the Napoleonic Wars.The Battle of Talavera in late July 1809 saw a victory by Arthur Wellesley's British army and Gregorio García de la Cuesta's Spanish army over the Imperial French army of King Joseph Bonaparte. Wellesley (soon to be known as Wellington) found that he was unable to exploit the triumph due to the failure of his logistical arrangements. Within a few days, Wellesley discovered that Soult's large French army was attempting to cut off his army from Portugal. Accordingly, the British and Spanish armies withdrew to the west, narrowly avoiding interception by Soult's forces. Albuquerque was left with 3,000 cavalry and 5,000 infantry to hold the bridge of Arzobispo. Because their position was so strong, the Spanish were lulled into a false sense of security. Meanwhile, French officers found and secretly reconnoitered a hidden ford near the bridge. Achieving tactical surprise, the French cavalry plunged across the ford during the Spanish siesta, followed by the infantry of Marshal Édouard Mortier's V Corps. Before Albuquerque could react, his cavalry was routed and one of his infantry battalions crushed. During the pursuit, Soult's horsemen not only seized 16 Spanish guns, but also recaptured at least 14 of the 17 French artillery pieces lost at Talavera.",39.8,-5.16667
"Siege of Mequinenza",1810-06-08,"The Siege of Mequinenza (15 May to 8 June 1810) saw a 16,000-man Imperial French corps commanded by Louis Gabriel Suchet invest a 1,000-strong Spanish garrison under Colonel Carbon. Mequinenza and its castle were captured by the French after an operation lasting about three weeks. The action occurred during the Peninsular War, which formed part of the Napoleonic Wars. Mequinenza is located at the confluence of the Ebro and Segre Rivers about 211 kilometres (131 mi) west of Barcelona.Mequinenza's town wall was old and weak, but its castle perched on a mountain spur above the town was a formidable position. It took Suchet's military engineers two weeks to construct a zig-zag road up the mountain. Once the road was ready, the French dragged their siege cannons to the top and opened fire on the castle. The town was successfully stormed on 5 June. After eight days of bombardment the castle was a ruin and Carbon surrendered. Since Mequinenza was at the head of navigation on the Ebro, Suchet was able the use the town as a supply base in his subsequent operations during the Siege of Tortosa in the winter of 1810 and 1811.",41.3667,0.3
"Battle of Halle",1806-10-17,"In the Battle of Halle on 17 October 1806 a French corps led by Jean-Baptiste Bernadotte fought the Prussian Reserve under Eugene Frederick Henry, Duke of Württemberg. The French defeated their opponents, forcing the Prussians to retreat northeast toward Dessau after suffering heavy losses. The clash occurred in the War of the Fourth Coalition, part of the Napoleonic Wars. The city of Halle is located about 30 kilometers northwest of Leipzig on the Saale River.Emperor Napoleon I of France invaded the Electorate of Saxony and inflicted two disastrous defeats on the Prussian-Saxon armies on 14 October 1806.  As the beaten armies fled, Marshal Bernadotte's corps marched north and found Duke Eugene's unblooded Reserve located at Halle. At the beginning of the encounter, two French divisions rushed the bridges over the Saale on the west side of the city. They overran a weak defending force and quickly occupied the city. Later in the day, Bernadotte's troops stormed out of Halle and attacked Eugene's Reserve which was drawn up to the southeast of the city. The Prussians were driven from their positions and chased to the northeast. While this engagement was going on, Bernadotte's third division surrounded and captured a Prussian regiment isolated on the west side of the city. One of the few intact Prussian forces west of the Elbe River was now crippled.",51.4667,11.9667
"Battle of Maya",1813-07-25,"The Battle of Maya (25 July 1813) was a battle between French and British forces during the Peninsular War (1808–1814).",43.2039,-1.48139
"Battle of Friedland",1807-06-14,"The Battle of Friedland (June 14, 1807) was a major confrontation of the Napoleonic Wars between the armies of the French Empire commanded by Napoleon and the armies of the Russian Empire led by Count von Bennigsen. The battlefield is located in modern Kaliningrad, near the town of Pravdinsk. Napoleon and the French obtained a decisive victory that routed much of the Russian army, which retreated chaotically over the Alle River by the end of the fighting.The engagement at Friedland was a strategic necessity after the Battle of Eylau earlier in 1807 had failed to yield a decisive verdict for either side. The battle began when Bennigsen noticed the seemingly isolated corps of Marshal Lannes at the town of Friedland. Thinking he had a good chance of destroying these isolated French units, Bennigsen ordered his entire army over the Alle River. Lannes held his ground against determined Russian attacks until Napoleon could bring additional forces onto the field. By late afternoon, the French had amassed a force of 80,000 troops on the battlefield. Napoleon concluded that the moment had come and ordered a massive assault against the Russian left flank, hoping to roll up the Russian army and press them against the river behind. Unable to withstand the pressure, the Russians broke and started escaping across the Alle, where many died from drowning. The Russian army suffered horrific casualties at Friedland–losing at least 30,000 men–while the French lost about 10,000 soldiers. Napoleon's overwhelming victory was enough to convince the Russian political establishment that peace was necessary. Friedland effectively ended the War of the Fourth Coalition, as Czar Alexander reluctantly entered peace negotiations with Napoleon. These discussions eventually culminated in the Treaties of Tilsit, by which Russia agreed to join the Continental System against Britain and by which Prussia lost almost half of its territories. The lands lost by Prussia were converted into the new Kingdom of Westphalia, which was governed by Napoleon's brother, Jérôme. Tilsit also gave France control of the Ionian Islands, a vital and strategic entry point into the Mediterranean Sea. Some historians regard the political settlements at Tilsit as the height of Napoleon's empire because there was no longer any continental power challenging the French domination of Europe.",54.45,21.0167
"Battle of Leipzig II",1813-10-19,"The Battle of Leipzig or Battle of the Nations (German: Völkerschlacht, French: Bataille des Nations) was fought 16–19 October 1813 by the coalition armies of Russia, Prussia, Austria, and Sweden led by the Russian Tsar Alexander I and prince Schwarzenberg decisively defeated the French army of Napoleon I, Emperor of the French, at Leipzig, in Saxony. Napoleon's army also contained Polish and Italian troops as well as Germans from the Confederation of the Rhine. The battle marked the culmination of the autumn campaign of 1813 during the German campaign and involved over 600,000 soldiers, making it the largest battle in Europe prior to World War I.Being decisively defeated for the first time in battle, Napoleon was compelled to return to France while the Coalition hurried to keep their momentum, invading France early the next year. Napoleon was forced to abdicate and was exiled to Elba in May 1814.",51.25,12.64
"Battle of Berezina",1812-11-29,"The Battle of Berezina (or Beresina) took place from 26 to 29 November 1812, between the French army of Napoleon, retreating after his invasion of Russia and crossing the Berezina (near Borisov, Belarus), and the Russian armies under Mikhail Kutuzov, Peter Wittgenstein and Admiral Pavel Chichagov. The battle ended with a mixed outcome. The French suffered very heavy losses but managed to cross the river and avoid being trapped. Since then ""Bérézina"" has been used in French as a synonym for ""disaster.""",54.3258,28.3605
"Action of 13 December 1809",1809-12-13,"Roquebert's expedition to the Caribbean, was an unsuccessful operation by a French naval squadron to transport supplies to Guadeloupe in December 1809 at the height of the Napoleonic Wars. Over the previous year, British Royal Navy squadrons had isolated and defeated the French Caribbean colonies one by one, until by the autumn Guadeloupe was the only colony remaining in French hands. Cut off from the rest of the world by British blockade squadrons that intercepted all ships coming to or from the island, Guadeloupe was in a desperate situation, facing economic collapse, food shortages and social upheaval, as well as the impending threat of British invasion. In an effort to reinforce and resupply the colony, the French government sent four frigates to the West Indies in November 1809 under Commodore François Roquebert. Two of the ships were only lightly armed, their cannon removed to make room for supplies and troops. Two others were at full strength, ordered to protect the storeships on their journey from the British forces operating off both the French and Guadeloupe coasts.The squadron almost reached the Caribbean without encountering any of patrolling British warships sent to watch for French reinforcements, but was spotted and intercepted by the frigate HMS Junon on 13 December. Junon '​s captain did not realise the size of the French squadron until it was too late and, despite fierce resistance, his ship was captured and he was mortally wounded. Continuing with the mission, Roquebert successfully delivered the disarmed frigates Loire and Seine to within sight of Guadeloupe and then left them, his frigates making their way back to France without ensuring the safe arrival of their convoy. On 15 December, the small British brig HMS Observateur, which had witnessed the defeat of Junon, brought news of the French arrival to the blockade squadron anchored off Basse-Terre. Summoning ships from the surrounding region, the British commander, Captain Volant Vashon Ballard amassed a significant squadron and forced the French supply ships to anchor in a protected bay at Anse la Barque, on the southeastern coast of Guadeloupe.Ineffectual efforts were made to capture the French ships, but it was not until the arrival of the 74-gun HMS Sceptre under Captain Samuel James Ballard that an attack was made in earnest. As small ships engaged the batteries on shore, two frigates entered the bay and attacked the disarmed frigates, causing both to surrender in an hour-long engagement. Both French ships were badly damaged and a fire started during the engagement was able to rapidly spread through them, destroying both ships in succession. Many of the French crew escaped ashore from the wrecks, while others were picked up by British ships. The blockade of Guadeloupe was successfully maintained, and the island was captured in a coordinated invasion a month later. Roquebert's remaining ships were intercepted on 16 January by a patrolling British frigate, but successfully escaped pursuit and eventually returned undamaged to France.",17.3,-57.0
"Action of 18 December 1809",1809-12-13,"Roquebert's expedition to the Caribbean, was an unsuccessful operation by a French naval squadron to transport supplies to Guadeloupe in December 1809 at the height of the Napoleonic Wars. Over the previous year, British Royal Navy squadrons had isolated and defeated the French Caribbean colonies one by one, until by the autumn Guadeloupe was the only colony remaining in French hands. Cut off from the rest of the world by British blockade squadrons that intercepted all ships coming to or from the island, Guadeloupe was in a desperate situation, facing economic collapse, food shortages and social upheaval, as well as the impending threat of British invasion. In an effort to reinforce and resupply the colony, the French government sent four frigates to the West Indies in November 1809 under Commodore François Roquebert. Two of the ships were only lightly armed, their cannon removed to make room for supplies and troops. Two others were at full strength, ordered to protect the storeships on their journey from the British forces operating off both the French and Guadeloupe coasts.The squadron almost reached the Caribbean without encountering any of patrolling British warships sent to watch for French reinforcements, but was spotted and intercepted by the frigate HMS Junon on 13 December. Junon '​s captain did not realise the size of the French squadron until it was too late and, despite fierce resistance, his ship was captured and he was mortally wounded. Continuing with the mission, Roquebert successfully delivered the disarmed frigates Loire and Seine to within sight of Guadeloupe and then left them, his frigates making their way back to France without ensuring the safe arrival of their convoy. On 15 December, the small British brig HMS Observateur, which had witnessed the defeat of Junon, brought news of the French arrival to the blockade squadron anchored off Basse-Terre. Summoning ships from the surrounding region, the British commander, Captain Volant Vashon Ballard amassed a significant squadron and forced the French supply ships to anchor in a protected bay at Anse la Barque, on the southeastern coast of Guadeloupe.Ineffectual efforts were made to capture the French ships, but it was not until the arrival of the 74-gun HMS Sceptre under Captain Samuel James Ballard that an attack was made in earnest. As small ships engaged the batteries on shore, two frigates entered the bay and attacked the disarmed frigates, causing both to surrender in an hour-long engagement. Both French ships were badly damaged and a fire started during the engagement was able to rapidly spread through them, destroying both ships in succession. Many of the French crew escaped ashore from the wrecks, while others were picked up by British ships. The blockade of Guadeloupe was successfully maintained, and the island was captured in a coordinated invasion a month later. Roquebert's remaining ships were intercepted on 16 January by a patrolling British frigate, but successfully escaped pursuit and eventually returned undamaged to France.",17.3,-57.0
"Roquebert's expedition to the Caribbean:",1809-12-13,"Roquebert's expedition to the Caribbean, was an unsuccessful operation by a French naval squadron to transport supplies to Guadeloupe in December 1809 at the height of the Napoleonic Wars. Over the previous year, British Royal Navy squadrons had isolated and defeated the French Caribbean colonies one by one, until by the autumn Guadeloupe was the only colony remaining in French hands. Cut off from the rest of the world by British blockade squadrons that intercepted all ships coming to or from the island, Guadeloupe was in a desperate situation, facing economic collapse, food shortages and social upheaval, as well as the impending threat of British invasion. In an effort to reinforce and resupply the colony, the French government sent four frigates to the West Indies in November 1809 under Commodore François Roquebert. Two of the ships were only lightly armed, their cannon removed to make room for supplies and troops. Two others were at full strength, ordered to protect the storeships on their journey from the British forces operating off both the French and Guadeloupe coasts.The squadron almost reached the Caribbean without encountering any of patrolling British warships sent to watch for French reinforcements, but was spotted and intercepted by the frigate HMS Junon on 13 December. Junon '​s captain did not realise the size of the French squadron until it was too late and, despite fierce resistance, his ship was captured and he was mortally wounded. Continuing with the mission, Roquebert successfully delivered the disarmed frigates Loire and Seine to within sight of Guadeloupe and then left them, his frigates making their way back to France without ensuring the safe arrival of their convoy. On 15 December, the small British brig HMS Observateur, which had witnessed the defeat of Junon, brought news of the French arrival to the blockade squadron anchored off Basse-Terre. Summoning ships from the surrounding region, the British commander, Captain Volant Vashon Ballard amassed a significant squadron and forced the French supply ships to anchor in a protected bay at Anse la Barque, on the southeastern coast of Guadeloupe.Ineffectual efforts were made to capture the French ships, but it was not until the arrival of the 74-gun HMS Sceptre under Captain Samuel James Ballard that an attack was made in earnest. As small ships engaged the batteries on shore, two frigates entered the bay and attacked the disarmed frigates, causing both to surrender in an hour-long engagement. Both French ships were badly damaged and a fire started during the engagement was able to rapidly spread through them, destroying both ships in succession. Many of the French crew escaped ashore from the wrecks, while others were picked up by British ships. The blockade of Guadeloupe was successfully maintained, and the island was captured in a coordinated invasion a month later. Roquebert's remaining ships were intercepted on 16 January by a patrolling British frigate, but successfully escaped pursuit and eventually returned undamaged to France.",17.3,-57.0
"Action of 13 December 1809",1809-12-18,"Roquebert's expedition to the Caribbean, was an unsuccessful operation by a French naval squadron to transport supplies to Guadeloupe in December 1809 at the height of the Napoleonic Wars. Over the previous year, British Royal Navy squadrons had isolated and defeated the French Caribbean colonies one by one, until by the autumn Guadeloupe was the only colony remaining in French hands. Cut off from the rest of the world by British blockade squadrons that intercepted all ships coming to or from the island, Guadeloupe was in a desperate situation, facing economic collapse, food shortages and social upheaval, as well as the impending threat of British invasion. In an effort to reinforce and resupply the colony, the French government sent four frigates to the West Indies in November 1809 under Commodore François Roquebert. Two of the ships were only lightly armed, their cannon removed to make room for supplies and troops. Two others were at full strength, ordered to protect the storeships on their journey from the British forces operating off both the French and Guadeloupe coasts.The squadron almost reached the Caribbean without encountering any of patrolling British warships sent to watch for French reinforcements, but was spotted and intercepted by the frigate HMS Junon on 13 December. Junon '​s captain did not realise the size of the French squadron until it was too late and, despite fierce resistance, his ship was captured and he was mortally wounded. Continuing with the mission, Roquebert successfully delivered the disarmed frigates Loire and Seine to within sight of Guadeloupe and then left them, his frigates making their way back to France without ensuring the safe arrival of their convoy. On 15 December, the small British brig HMS Observateur, which had witnessed the defeat of Junon, brought news of the French arrival to the blockade squadron anchored off Basse-Terre. Summoning ships from the surrounding region, the British commander, Captain Volant Vashon Ballard amassed a significant squadron and forced the French supply ships to anchor in a protected bay at Anse la Barque, on the southeastern coast of Guadeloupe.Ineffectual efforts were made to capture the French ships, but it was not until the arrival of the 74-gun HMS Sceptre under Captain Samuel James Ballard that an attack was made in earnest. As small ships engaged the batteries on shore, two frigates entered the bay and attacked the disarmed frigates, causing both to surrender in an hour-long engagement. Both French ships were badly damaged and a fire started during the engagement was able to rapidly spread through them, destroying both ships in succession. Many of the French crew escaped ashore from the wrecks, while others were picked up by British ships. The blockade of Guadeloupe was successfully maintained, and the island was captured in a coordinated invasion a month later. Roquebert's remaining ships were intercepted on 16 January by a patrolling British frigate, but successfully escaped pursuit and eventually returned undamaged to France.",17.3,-57.0
"Action of 18 December 1809",1809-12-18,"Roquebert's expedition to the Caribbean, was an unsuccessful operation by a French naval squadron to transport supplies to Guadeloupe in December 1809 at the height of the Napoleonic Wars. Over the previous year, British Royal Navy squadrons had isolated and defeated the French Caribbean colonies one by one, until by the autumn Guadeloupe was the only colony remaining in French hands. Cut off from the rest of the world by British blockade squadrons that intercepted all ships coming to or from the island, Guadeloupe was in a desperate situation, facing economic collapse, food shortages and social upheaval, as well as the impending threat of British invasion. In an effort to reinforce and resupply the colony, the French government sent four frigates to the West Indies in November 1809 under Commodore François Roquebert. Two of the ships were only lightly armed, their cannon removed to make room for supplies and troops. Two others were at full strength, ordered to protect the storeships on their journey from the British forces operating off both the French and Guadeloupe coasts.The squadron almost reached the Caribbean without encountering any of patrolling British warships sent to watch for French reinforcements, but was spotted and intercepted by the frigate HMS Junon on 13 December. Junon '​s captain did not realise the size of the French squadron until it was too late and, despite fierce resistance, his ship was captured and he was mortally wounded. Continuing with the mission, Roquebert successfully delivered the disarmed frigates Loire and Seine to within sight of Guadeloupe and then left them, his frigates making their way back to France without ensuring the safe arrival of their convoy. On 15 December, the small British brig HMS Observateur, which had witnessed the defeat of Junon, brought news of the French arrival to the blockade squadron anchored off Basse-Terre. Summoning ships from the surrounding region, the British commander, Captain Volant Vashon Ballard amassed a significant squadron and forced the French supply ships to anchor in a protected bay at Anse la Barque, on the southeastern coast of Guadeloupe.Ineffectual efforts were made to capture the French ships, but it was not until the arrival of the 74-gun HMS Sceptre under Captain Samuel James Ballard that an attack was made in earnest. As small ships engaged the batteries on shore, two frigates entered the bay and attacked the disarmed frigates, causing both to surrender in an hour-long engagement. Both French ships were badly damaged and a fire started during the engagement was able to rapidly spread through them, destroying both ships in succession. Many of the French crew escaped ashore from the wrecks, while others were picked up by British ships. The blockade of Guadeloupe was successfully maintained, and the island was captured in a coordinated invasion a month later. Roquebert's remaining ships were intercepted on 16 January by a patrolling British frigate, but successfully escaped pursuit and eventually returned undamaged to France.",17.3,-57.0
"Roquebert's expedition to the Caribbean:",1809-12-18,"Roquebert's expedition to the Caribbean, was an unsuccessful operation by a French naval squadron to transport supplies to Guadeloupe in December 1809 at the height of the Napoleonic Wars. Over the previous year, British Royal Navy squadrons had isolated and defeated the French Caribbean colonies one by one, until by the autumn Guadeloupe was the only colony remaining in French hands. Cut off from the rest of the world by British blockade squadrons that intercepted all ships coming to or from the island, Guadeloupe was in a desperate situation, facing economic collapse, food shortages and social upheaval, as well as the impending threat of British invasion. In an effort to reinforce and resupply the colony, the French government sent four frigates to the West Indies in November 1809 under Commodore François Roquebert. Two of the ships were only lightly armed, their cannon removed to make room for supplies and troops. Two others were at full strength, ordered to protect the storeships on their journey from the British forces operating off both the French and Guadeloupe coasts.The squadron almost reached the Caribbean without encountering any of patrolling British warships sent to watch for French reinforcements, but was spotted and intercepted by the frigate HMS Junon on 13 December. Junon '​s captain did not realise the size of the French squadron until it was too late and, despite fierce resistance, his ship was captured and he was mortally wounded. Continuing with the mission, Roquebert successfully delivered the disarmed frigates Loire and Seine to within sight of Guadeloupe and then left them, his frigates making their way back to France without ensuring the safe arrival of their convoy. On 15 December, the small British brig HMS Observateur, which had witnessed the defeat of Junon, brought news of the French arrival to the blockade squadron anchored off Basse-Terre. Summoning ships from the surrounding region, the British commander, Captain Volant Vashon Ballard amassed a significant squadron and forced the French supply ships to anchor in a protected bay at Anse la Barque, on the southeastern coast of Guadeloupe.Ineffectual efforts were made to capture the French ships, but it was not until the arrival of the 74-gun HMS Sceptre under Captain Samuel James Ballard that an attack was made in earnest. As small ships engaged the batteries on shore, two frigates entered the bay and attacked the disarmed frigates, causing both to surrender in an hour-long engagement. Both French ships were badly damaged and a fire started during the engagement was able to rapidly spread through them, destroying both ships in succession. Many of the French crew escaped ashore from the wrecks, while others were picked up by British ships. The blockade of Guadeloupe was successfully maintained, and the island was captured in a coordinated invasion a month later. Roquebert's remaining ships were intercepted on 16 January by a patrolling British frigate, but successfully escaped pursuit and eventually returned undamaged to France.",17.3,-57.0
